timestamp_sec,gt_x,gt_y,gt_z
129.875826,2.067280844,2.166473727,2.964118075
129.897442,2.065425308,2.148847452,2.964424703
129.918441,2.063622736,2.131724295,2.964722578
129.939466,2.061817932,2.114579937,2.965020822
129.961592,2.061794459,2.101562764,2.965435251
129.982469,2.063874029,2.09491045,2.965938963
130.003498,2.06596874,2.088209702,2.966446342
130.026333,2.068243348,2.080933484,2.966997296
130.047355,2.070337361,2.074234967,2.967504506
130.068179,2.072411652,2.067599541,2.968006939
130.08921,2.074506562,2.060898155,2.968514367
130.110252,2.076602568,2.054193265,2.96902206
130.131271,2.078696282,2.047495703,2.969529198
130.153344,2.080894987,2.040462292,2.970061766
130.174407,2.082993084,2.03375071,2.970569966
130.195427,2.085086899,2.02705283,2.971077128
130.216701,2.087206014,2.020274014,2.971590419
130.237712,2.089298932,2.013579001,2.972097364
130.258722,2.09139175,2.006884308,2.972604284
130.280938,2.093604699,1.99980533,2.973140303
130.302057,2.095708375,1.993075904,2.973649854
130.323073,2.09780179,1.986379298,2.97415692
130.34552,2.100037749,1.979226714,2.974698512
130.380104,2.103482681,1.968206758,2.975532941
130.40113,2.105577093,1.961506965,2.976040248
130.422417,2.107697504,1.954724007,2.976553852
130.443633,2.109810842,1.947963673,2.977065743
130.464668,2.11190615,1.941261013,2.977573267
130.485693,2.114000463,1.93456154,2.97808055
130.50669,2.116091986,1.927870988,2.978587157
130.527699,2.118184705,1.921176613,2.979094054
130.548694,2.120276029,1.914486699,2.979600613
130.569536,2.122352112,1.907845537,2.98010348
130.59058,2.124448317,1.901140009,2.980611222
130.611641,2.126546216,1.894429065,2.981119373
130.633796,2.128753088,1.887369524,2.98165392
130.654836,2.130848895,1.880665271,2.982161565
130.675882,2.132945299,1.873959106,2.982669354
130.698637,2.135211938,1.86670838,2.983218378
130.719678,2.137307844,1.860003808,2.983726046
130.748105,2.140139474,1.850945738,2.984411922
130.769153,2.142236077,1.844238935,2.984919759
130.790197,2.144332282,1.837533408,2.985427501
130.811228,2.146427192,1.830832022,2.985934928
130.83208,2.148504272,1.824187674,2.986438037
130.853149,2.150602967,1.81747418,2.986946381
130.874177,2.152697578,1.810773751,2.987453737
130.89521,2.154792688,1.804071728,2.987961212
130.916047,2.156868273,1.79743216,2.988463959
130.93704,2.158959398,1.790742883,2.98897047
130.958049,2.16132584,1.779260138,2.989562626
130.979071,2.164295419,1.75724496,2.990342557
131.000098,2.167265703,1.735224545,2.991122673
131.021123,2.170235705,1.713206226,2.991902715
131.042205,2.173213759,1.691128213,2.992684872
131.063219,2.176182208,1.669121413,2.993464506
131.084333,2.179164782,1.647009888,2.994247851
131.105335,2.182131535,1.625015655,2.99502704
131.126382,2.185104645,1.602974296,2.995807898
131.147416,2.188075918,1.580946551,2.996588274
131.168428,2.191044084,1.558941845,2.997367834
131.189483,2.194018324,1.536892108,2.998148989
131.210498,2.196986913,1.514884261,2.99892866
131.231524,2.199957057,1.492864894,2.99970874
131.252569,2.202929884,1.470825629,3.000489524
131.273679,2.205911893,1.448718293,3.00127272
131.294701,2.208881472,1.426703115,3.002052651
131.315737,2.211853028,1.404673276,3.002833101
131.336754,2.2148219,1.382663334,3.003612846
131.35779,2.217793456,1.360633494,3.004393297
131.378792,2.220760209,1.338639261,3.005172486
131.400948,2.223889977,1.315436508,3.005994489
131.421996,2.226863228,1.293394101,3.006775384
131.443024,2.229833654,1.27137264,3.007555538
131.464098,2.232810578,1.249303005,3.008337398
131.485125,2.235780862,1.227282591,3.009117514
131.506147,2.238750441,1.205267412,3.009897445
131.527151,2.241717476,1.183271085,3.010676708
131.548178,2.244687761,1.16125067,3.011456825
131.569207,2.247658328,1.139228162,3.012237015
131.590255,2.250631579,1.117185755,3.013017911
131.611249,2.253597202,1.0951999,3.013796803
131.632249,2.256563673,1.073207761,3.014575918
131.653269,2.259532969,1.051194678,3.015355775
131.674294,2.262502971,1.029176358,3.016135817
131.695376,2.265481025,1.007098345,3.016917974
131.716393,2.268449897,0.985088403,3.017697719
131.737419,2.27142004,0.963069036,3.018477798
131.758444,2.274390042,0.941050717,3.019257841
131.779466,2.27735962,0.919035538,3.020037772
131.800475,2.280327362,0.897033975,3.02081722
131.821524,2.283300755,0.874990521,3.021598153
131.84257,2.286273723,0.852950209,3.022378974
131.863579,2.289241465,0.830948645,3.023158423
131.884628,2.292214858,0.808905191,3.023939355
131.905662,2.295186131,0.786877446,3.024719731
131.926674,2.298154297,0.764872741,3.025499291
131.948098,2.301180662,0.74243657,3.026294137
131.969131,2.306357132,0.734881987,3.025952545
131.990172,2.311957836,0.730095566,3.025396002
132.011173,2.317547893,0.725318244,3.024840517
132.032177,2.323138749,0.720540239,3.024284953
132.053233,2.328743446,0.715750405,3.023728013
132.074304,2.334352135,0.71095716,3.023170677
132.095373,2.339960293,0.706164369,3.022613393
132.116387,2.34555381,0.701384089,3.022057564
132.13826,2.351375976,0.696408404,3.021479015
132.159297,2.356975616,0.691622892,3.020922578
132.180316,2.362570464,0.686841476,3.020366617
132.201344,2.368167708,0.682058011,3.019810418
132.222368,2.373763887,0.677275457,3.019254325
132.24339,2.379359534,0.672493358,3.018698284
132.264562,2.384995108,0.667677136,3.018138276
132.285574,2.390588092,0.662897312,3.017582501
132.30659,2.396182142,0.658116578,3.017026619
132.327939,2.40186483,0.653260092,3.016461929
132.349027,2.407478045,0.648462979,3.015904143
132.370061,2.413076886,0.64367815,3.015347786
132.391092,2.418674928,0.638894003,3.014791507
132.412111,2.424269776,0.634112587,3.014235546
132.433128,2.429864092,0.629331625,3.013679638
132.454159,2.435462134,0.624547478,3.01312336
132.475469,2.441134441,0.619699864,3.012559702
132.496505,2.446733814,0.61491458,3.012003291
132.51753,2.45233026,0.610131799,3.011447172
132.538555,2.457926705,0.605349017,3.010891052
132.559572,2.463521021,0.600568055,3.010335144
132.580596,2.4691172,0.595785501,3.009779051
132.601659,2.47472376,0.590994075,3.009221926
132.622673,2.480317277,0.586213795,3.008666097
132.643685,2.485910262,0.581433971,3.008110321
132.664705,2.491505377,0.576652326,3.007554334
132.685752,2.497107678,0.57186454,3.006997633
132.706799,2.502709979,0.567076754,3.006440931
132.727843,2.508311482,0.56228965,3.005884309
132.748886,2.513912719,0.557502774,3.005327713
132.769926,2.519513157,0.55271658,3.004771197
132.790999,2.525122379,0.547922879,3.004213807
132.812057,2.530727608,0.54313259,3.003656815
132.833097,2.536328046,0.538346396,3.003100298
132.854123,2.541924757,0.533563387,3.002544152
132.875213,2.547538504,0.528765819,3.001986313
132.896216,2.553129094,0.523988042,3.001430776
132.917243,2.558726071,0.519204805,3.000874603
132.938291,2.564328639,0.514416791,3.000317875
132.959367,2.5772149,0.513845815,3.001756235
132.98041,2.602222207,0.52032296,3.006522607
133.00142,2.627190298,0.526789947,3.011281504
133.022459,2.652192852,0.533265861,3.01604697
133.043496,2.677193029,0.539741159,3.020811984
133.065165,2.702944269,0.54641099,3.025720149
133.086173,2.727909983,0.552877362,3.030478593
133.107177,2.752870943,0.559342502,3.035236131
133.130603,2.780710186,0.566553147,3.040542268
